,,,,,,,,,,,,,,,,,,,,,,,,,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,,,Cyclically,,Cyclically ,,,,,,,,,,,
Robert J. Shiller ,,,,,,,,,,,,Adjusted,,Adjusted,,,,,,,,,,,
,,,,,,,,,,,,Price,,Total Return Price,,,,,,,,,,,
,,,,  Consumer,,,,, Real ,, Real ,Earnings,,Earnings,,,Monthly,Real,,,,,,,
,S&P,,,Price,,Long,,, Total ,, TR ,Ratio,,Ratio,,Excess,Total,Total,10 Year,10 Year,Real 10 Year,,,,
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real, Return ,Real, Scaled ,P/E10 or,,TR P/E10 or,,CAPE,Bond,Bond,Annualized Stock,Annualized Bonds ,Excess Annualized ,,,,
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend, Price ,Earnings, Earnings ,CAPE,,TR CAPE,,Yield,Returns,Returns,Real Return,Real Return,Returns,,,,
1874.06,4.46,0.33,0.46,11.80,1874.46,5.30,100.66,7.45, 123.96 ,10.38, 12.79 ,NA,,NA,,,1.01,1.27,9.22%,8.76%,0.46%,,,,
1874.07,4.46,0.33,0.46,11.89,1874.54,5.27,99.85,7.39, 123.73 ,10.30, 12.76 ,NA,,NA,,,1.01,1.27,9.43%,8.93%,0.50%,,,,
1874.08,4.47,0.33,0.46,11.80,1874.63,5.24,100.88,7.45, 125.77 ,10.38, 12.94 ,NA,,NA,,,1.01,1.29,9.98%,8.81%,1.17%,,,,
1874.09,4.54,0.33,0.46,11.80,1874.71,5.20,102.46,7.45, 128.52 ,10.38, 13.02 ,NA,,NA,,,1.01,1.30,9.57%,8.89%,0.68%,,,,
1874.1,4.53,0.33,0.46,11.61,1874.79,5.17,103.92,7.57, 131.13 ,10.55, 13.32 ,NA,,NA,,,1.01,1.33,9.17%,8.80%,0.37%,,,,
1874.11,4.57,0.33,0.46,11.51,1874.88,5.14,105.70,7.63, 134.18 ,10.64, 13.51 ,NA,,NA,,,1.01,1.35,9.01%,8.92%,0.09%,,,,
1874.12,4.54,0.33,0.46,11.51,1874.96,5.10,105.00,7.63, 134.11 ,10.64, 13.59 ,NA,,NA,,,1.01,1.36,9.18%,9.01%,0.17%,,,,
1875.01,4.54,0.33,0.45,11.51,1875.04,5.07,105.00,7.57, 134.91 ,10.45, 13.42 ,NA,,NA,,,1.01,1.37,8.92%,8.97%,-0.05%,,,,
1875.02,4.53,0.33,0.44,11.51,1875.13,5.03,104.77,7.52, 135.42 ,10.25, 13.25 ,NA,,NA,,,1.01,1.38,9.15%,8.81%,0.34%,,,,
1875.03,4.59,0.32,0.44,11.51,1875.21,4.99,106.16,7.46, 138.02 ,10.06, 13.08 ,NA,,NA,,,1.01,1.39,9.28%,9.03%,0.25%,,,,
